step,tokens,train_loss,val_loss,lr,tok_per_sec
3240,849346560,3.3072,,2.975367e-04,125099
3250,851968000,3.2909,,2.975147e-04,125379
3260,854589440,3.3197,,2.974926e-04,125484
3270,857210880,3.2791,,2.974705e-04,125123
3280,859832320,3.2923,,2.974482e-04,124840
3290,862453760,3.2809,,2.974258e-04,124756
3300,865075200,3.2640,,2.974033e-04,124714
3310,867696640,3.2754,,2.973808e-04,124487
3320,870318080,3.3073,,2.973581e-04,124653
3330,872939520,3.2794,,2.973354e-04,124715
3340,875560960,3.2770,,2.973125e-04,124681
3350,878182400,3.2692,,2.972895e-04,124848
3360,880803840,3.2862,,2.972665e-04,124864
3370,883425280,3.3009,,2.972434e-04,124871
3380,886046720,3.2739,,2.972201e-04,124771
3390,888668160,3.2945,,2.971968e-04,124436
3400,891289600,3.2648,,2.971733e-04,124700
3410,893911040,3.2679,,2.971498e-04,124546
3420,896532480,3.2673,,2.971262e-04,124610
3430,899153920,3.2695,,2.971025e-04,124850
3440,901775360,3.2621,,2.970786e-04,124425
3450,904396800,3.2711,,2.970547e-04,124515
3460,907018240,3.2656,,2.970307e-04,124122
3470,909639680,3.2653,,2.970066e-04,124871
3480,912261120,3.2667,,2.969824e-04,124589
3490,914882560,3.2946,,2.969581e-04,125144
3500,917504000,3.2813,,2.969337e-04,124777
3500,917504000,,3.2703,2.969337e-04,
3510,920125440,3.2642,,2.969092e-04,127080
3520,922746880,3.2681,,2.968846e-04,125496
3530,925368320,3.2711,,2.968599e-04,125384
3540,927989760,3.2853,,2.968351e-04,125477
3550,930611200,3.2742,,2.968103e-04,124816
3560,933232640,3.2832,,2.967853e-04,124572
3570,935854080,3.2715,,2.967602e-04,124689
3580,938475520,3.2694,,2.967350e-04,124746
3590,941096960,3.2598,,2.967098e-04,124792
3600,943718400,3.2701,,2.966844e-04,124917
3610,946339840,3.2545,,2.966589e-04,124816
3620,948961280,3.2690,,2.966334e-04,124916
3630,951582720,3.2679,,2.966077e-04,124872
3640,954204160,3.2797,,2.965820e-04,124863
3650,956825600,3.2466,,2.965562e-04,125409
3660,959447040,3.2526,,2.965302e-04,125502
3670,962068480,3.2606,,2.965042e-04,125383
3680,964689920,3.2855,,2.964781e-04,125376
3690,967311360,3.2396,,2.964518e-04,125589
3700,969932800,3.2477,,2.964255e-04,125340
